"DIRECTORIO" "SECUENCIA_P" "HOGAR" "departamento" "hogar_urbano" "size" "n_mujeres" "n_menores" "seguridad_social" "no_acceso_medico" "n_analfabeto" "escolaridad_max" "escolaridad_min" "escolaridad_median" "ingreso_laboral" "valor_casa"
4940169 1 1 68 1 6 4 1 1 0 6 9 3 7.5 450000 5.8e+07
4938719 1 1 76 1 3 1 1 0.666666666666667 3 NA 11 0 11 1100000 NA
4851292 1 1 11 1 2 1 0 1 0 2 12 11 11.5 1656232 NA
5015422 1 1 76 1 1 1 0 1 0 1 16 16 16 200000 NA
4840248 1 1 5 0 2 1 0 1 0 2 2 1 1.5 0 NA
4982981 1 1 44 1 2 2 0 1 0 2 18 16 17 2000000 4e+08
4929594 1 1 11 1 4 2 2 0.75 1 3 11 0 6.5 828116 NA
4945635 1 1 54 0 3 1 1 1 0 NA 5 0 3 360000 NA
5001951 1 1 68 1 1 1 0 1 0 1 5 5 5 0 3e+07
4915080 1 1 15 1 3 1 2 1 0 NA 18 0 10 0 NA
5086977 1 1 47 1 5 2 3 1 0 5 11 7 10 1100000 NA
4900928 1 1 18 1 2 1 0 1 0 2 5 5 5 870000 7e+07
4947509 1 1 50 1 1 0 0 0 0 1 3 3 3 1000000 NA
4928108 1 1 68 1 3 2 1 1 0 2 11 0 11 1700000 NA
4995064 1 1 11 1 2 2 1 1 0 NA 19 0 9.5 4000000 NA
4814757 1 1 8 1 4 3 1 1 0 4 16 5 13 2100000 1e+08
4824682 1 1 41 1 3 1 1 0.666666666666667 0 3 14 6 11 600000 NA
5009715 1 1 73 1 4 2 1 1 0 4 12 7 11.5 0 NA
4864742 1 1 5 1 2 1 0 1 0 2 18 13 15.5 1000000 2e+08
4888263 1 1 70 1 3 2 0 1 0 3 16 15 16 4300000 1.5e+08
4994238 1 1 76 1 2 1 0 1 0 2 5 3 4 1400000 NA
4940469 1 1 52 1 4 2 2 1 0 4 11 4 6.5 1150000 NA
4880110 1 1 15 1 4 1 2 1 0 NA 16 0 5.5 0 NA
4861323 1 1 70 1 4 4 2 1 0 2 12 0 1 460000 NA
4899362 1 1 76 0 3 1 0 1 0 2 5 2 2 0 5e+07
5002617 1 1 23 1 5 1 1 1 0 4 13 0 6 2140000 NA
5059352 1 1 68 1 5 2 0 1 0 5 14 1 4 2638000 1.2e+08
5056894 1 1 18 1 4 3 1 1 0 4 11 3 8 1390000 2e+07
4912236 1 1 15 1 5 1 0 1 0 3 11 0 10 500000 NA
4895578 1 1 50 1 4 2 1 0 1 NA 11 0 8.5 900000 NA
